item,vendor_name,item_description,export_control_risk,sn_control,key_item,hazardcategory,hazardclassvalue,batterycount,sn,sn_availabled,spn,freeze_reason,reserved_name,state,c_material,wd_material_or_not,mg_material_or_not,inventory_time,storage_days,export_control_status,original_sn,product_line,sub_product_line,product,order_line,warehouse_code,warehouse_name,warehouse_address,subinv_group_code,subinv_group_name,subinv_code,inventory_qty,available_qty,fronze_qty,reserved_qty,unit,rev,version,computing_software_version,original_manufacturer,item_model,production_batch_no,production_date,rohs_compliance,quality_category,first_inbound_date,storage_days_start_date
03030LMK,HUAWEI,"OptiX OSN 6800,TN12OAU101,C-BAND Optical Amplifier Unit(MAX 0dBm IN and 20dBm OUT,Gain 20~31dB)",,Y,N,Normal Cargo,,0,030LMK10AA000537,Y,,,,Good Parts,,No,No,736 days 08:46:02,737.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2023-04-12 14:38:55,2023-04-12 14:38:55
03030LXQ,HUAWEI,"OptiX OSN 6800,TN12WSMD401,4-Port Wavelength selective multiplexing and Demultiplexing board (C_Band,196.05THz~192.10THz,50GHz,LC)",,Y,N,Normal Cargo,,0,030LXQ10CA000026,Y,,,,Good Parts,,No,No,2241 days 00:15:31,2242.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2019-02-27 23:09:26,2019-02-27 23:09:26
02120586,HUAWEI,"OptiX OSN 8800 T16,TN1E6FAN,Fan Box",,Y,N,Normal Cargo,,0,2102120586N0J7000214,Y,,,,Good Parts,,No,No,2362 days 01:52:57,2363.0,,,Optical Business,WDM,OptiX OSN 8800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,2018-10-29 21:32:00,2018-10-29 21:32:00
02120283,HUAWEI,"OptiX WDM,SSEE1RFB,Remote Optical Pump  Fan Box",,Y,N,Normal Cargo,,0,SP021202833A3013280A,Y,,,,Good Parts,,No,No,,,,,Optical Business,MSTP,OptiX OSN 3500,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,,
02120516,HUAWEI,"OptiX OSN 6800,TN1E2FAN,Fan Box",Default,Y,N,Normal Cargo,,0,2102120516N0K3002942,Y,,,,Good Parts,,No,No,1297 days 13:06:04,1298.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,2021-09-28 10:18:53,2021-09-28 10:18:53
02120403,HUAWEI,"OptiX OSN 6800,TN1E1EFI,User Interface Rack",,Y,N,Normal Cargo,,0,2102120403N0C8000410,Y,,,,Good Parts,,No,No,4305 days 00:24:14,4306.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,2013-07-04 23:00:43,2013-07-04 23:00:43
03030LGB,HUAWEI,"OptiX OSN 8800,TN52STG01,Clock board",Default,Y,N,Normal Cargo,,0,030LGBW0E1000380,Y,,,,Good Parts,,No,No,3894 days 08:11:55,3895.0,,,Optical Business,MSTP,OptiX OSN 9560,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,2014-08-19 15:13:02,2014-08-19 15:13:02
03030AVK,HUAWEI,"OptiX WDM,SSE2LWC1CT01,STM-16 Transmit-receive Line Wavelength Conversion Board(FEC,C_BAND,Tunable),100GHz(12800ps/nm,Rx1_APD,LC,L-16.1,LC)",,Y,N,Normal Cargo,,0,030AVK1074000009,Y,,,,Good Parts,,No,No,4518 days 16:35:31,4519.0,,,Optical Business,WDM,OptiX BWS 1600G,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,2012-12-03 06:49:26,2012-12-03 06:49:26
03020NSD,HUAWEI,"OptiX OSN 8800,TN52STI,Synchronous Timing Interface Board,1*2 Assembled Board",,Y,N,Normal Cargo,,0,020NSDW0C5000670,Y,,,,Good Parts,,No,No,4518 days 16:35:31,4519.0,,,Optical Business,WDM,OptiX OSN 8800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,2012-12-03 06:49:26,2012-12-03 06:49:26
03020JNL,HUAWEI,"OptiX OSN 8800,TN51EFI1,EMI Filter Interface Board,1*1",,Y,N,Normal Cargo,,0,020JNLW0BC000573,Y,,,,Good Parts,,No,No,4305 days 00:24:14,4306.0,,,Optical Business,WDM,OptiX OSN 8800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,2013-07-04 23:00:43,2013-07-04 23:00:43
